#,BOROUGH,BLOCK,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,BUILDING CLASS AT TIME OF SALE,TAX CLASS AT TIME OF SALE,SALE PRICE
379,1,471,LITTLE ITALY,01 ONE FAMILY DWELLINGS                    ,1,0,1,1016,3700,1800,A4,1,7090000
8370,3,1669,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,3949,1800,C0,1,1836125
3555,3,2431,WILLIAMSBURG-SOUTH,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1785,2772,1800,C3,2,1975000
1311,5,2882,CONCORD,29 COMMERCIAL GARAGES                      ,0,1,1,1428,400,1800,G9,4,340000
4944,3,1059,PARK SLOPE,38 ASYLUMS AND HOMES                       ,0,2,2,1883,2655,1800,N2,4,3400000
5519,3,3226,BUSHWICK,14 RENTALS - 4-10 UNIT                     ,4,1,5,1932,6000,1800,S4,2,1645000
18654,3,238,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3050,3375,1835,A9,1,7750000
9212,3,226,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,2076,2784,1835,B1,1,5135000
14801,3,237,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,7371,1844,A9,1,12900000
16062,3,234,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2652,5694,1844,C1,2,5500000
9071,3,270,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,2054,3800,1846,B3,1,6600000
386,3,210,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1020,1626,1847,A9,1,2675000
24264,1,744,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,24,0,24,4600,12200,1850,C6,2,282000
5436,3,221,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,1919,3496,1852,B3,1,5650000
18524,3,237,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,16,0,16,3005,9570,1852,D1,2,7100000
11789,3,236,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,2382,6569,1854,C1,2,7000000
15130,3,238,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,7,0,7,2529,7842,1854,C1,2,5400000
1735,3,234,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,9,0,9,1525,6063,1856,C1,2,5500000
8429,3,274,BROOKLYN HEIGHTS,14 RENTALS - 4-10 UNIT                     ,6,1,7,2000,5000,1856,S5,2,3700000
1204,4,31,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1400,1080,1870,B3,1,1575000
24064,5,567,STAPLETON,03 THREE FAMILY DWELLINGS                  ,3,0,3,4500,1840,1870,C0,1,600000
2586,4,47,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1658,4464,1871,B3,1,3000000
935,4,80,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1300,2160,1880,B1,1,4000000
555,4,899,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,1145,1530,1880,B1,1,600000
12859,4,707,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,906,1880,B9,1,850000
3127,3,267,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,5,0,5,1719,4700,1880,C2,2,1728000
20506,1,521,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,42,0,42,3731,15925,1880,C5,2,22112000
9303,1,611,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,2,1,3,2090,4224,1880,K4,4,6856750
26506,1,230,SOHO,11A CONDO-RENTALS                           ,10,2,12,6185,15655,1880,RR,2,8146000
2522,4,78,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1650,2228,1881,B3,1,2275000
2513,4,77,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,1602,1881,C0,1,1490000
2514,4,77,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,1602,1881,C0,1,450000
28287,2,5130,WAKEFIELD,30 WAREHOUSES                              ,0,1,1,30750,28910,1883,E1,4,3000000
341,1,1583,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,998,3507,1890,A4,1,6500000
580,1,1629,HARLEM-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,1162,2464,1890,A5,1,2250000
574,3,2335,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1160,1100,1890,A9,1,218000
14064,4,698,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,2200,1890,B2,1,25100
14065,4,698,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,2200,1890,B2,1,73515
1124,3,1943,CLINTON HILL,02 TWO FAMILY DWELLINGS                    ,2,0,2,1363,3360,1890,B9,1,2925000
4385,4,899,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,1805,2000,1890,C0,1,1100000
3427,1,1638,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1766,2412,1890,C3,2,1469500
3428,1,1638,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1766,2412,1890,C3,2,1900000
4451,1,1665,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1817,3483,1890,C3,2,2300000
8056,4,78,LONG ISLAND CITY,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2000,2976,1890,C5,2,1400000
3110,1,1827,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,1716,3213,1890,C5,2,1300000
4683,1,1753,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,0,1,1,1856,2620,1890,M4,4,1855000
13705,4,76,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,1752,1891,B3,1,1903000
1148,3,3321,BUSHWICK,03 THREE FAMILY DWELLINGS                  ,3,0,3,1379,2394,1895,C0,1,100000
4292,1,2130,WASHINGTON HEIGHTS LOWER,07 RENTALS - WALKUP APARTMENTS             ,7,0,7,1800,2817,1896,C1,2,1350000
27958,5,894,TODT HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,13680,1540,1899,A0,1,750000
27932,5,60,NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,13150,2808,1899,A1,1,335000
27727,5,155,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,10671,2464,1899,A1,1,725000
27728,5,155,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,10671,2464,1899,A1,1,725000
26910,5,158,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,7176,1360,1899,A1,1,420000
20366,5,158,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,3650,1180,1899,A1,1,375000
26235,5,159,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,1584,1899,A1,1,415000
23852,5,179,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4400,1012,1899,A1,1,162747
25967,5,187,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5700,1849,1899,A1,1,200000
3605,5,194,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1798,740,1899,A1,1,240000
9923,5,198,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2170,864,1899,A1,1,341000
26006,5,203,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5750,1418,1899,A1,1,320000
13275,5,208,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1407,1899,A1,1,195000
26063,5,216,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5840,1350,1899,A1,1,310284
25855,5,217,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5513,1612,1899,A1,1,410000
26052,5,217,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5811,1304,1899,A1,1,580000
21053,5,251,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3910,1448,1899,A1,1,435000
17310,5,252,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2875,1560,1899,A1,1,495000
26007,5,252,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,5750,2001,1899,A1,1,695000
20132,5,253,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3550,1200,1899,A1,1,499000
20134,5,253,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3550,1232,1899,A1,1,458500
25965,5,354,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,0,1,5700,1476,1899,A1,1,539000
26919,5,361,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,0,1,7200,1872,1899,A1,1,750000
19146,5,398,WESTERLEIGH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3200,1364,1899,A1,1,475000
14,3,461,GOWANUS,01 ONE FAMILY DWELLINGS                    ,1,0,1,414,800,1899,A1,1,634636
16509,5,505,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2726,864,1899,A1,1,370000
23435,5,506,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4175,1381,1899,A1,1,235000
24992,5,514,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,1604,1899,A1,1,465000
5924,5,516,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1975,1235,1899,A1,1,299000
13506,5,518,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1593,1899,A1,1,350000
3890,5,536,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,1296,1899,A1,1,335000
12882,3,585,RED HOOK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1000,1899,A1,1,116610
17702,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2975,896,1899,A1,1,271959
24439,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4750,1008,1899,A1,1,290000
24440,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4750,1008,1899,A1,1,258000
16749,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2772,1348,1899,A1,1,280000
19010,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3150,1280,1899,A1,1,335000
25478,5,1008,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,5100,2188,1899,A1,1,450000
13435,5,1032,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1533,1899,A1,1,274000
24994,5,1034,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,1608,1899,A1,1,232750
15565,5,1087,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,2600,1000,1899,A1,1,112000
17151,5,1160,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,2850,1048,1899,A1,1,200000
26559,5,1190,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,6270,2809,1899,A1,1,405000
26560,5,1190,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,6270,2809,1899,A1,1,260000
27220,5,1225,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,7950,1580,1899,A1,1,260000
16185,5,1225,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,2675,928,1899,A1,1,120000
25457,5,1227,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,5092,1584,1899,A1,1,340000
27406,5,1237,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,8760,2366,1899,A1,1,290000
19638,5,1516,BULLS HEAD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3360,736,1899,A1,1,165000
18939,2,2691,MORRISANIA/LONGWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3129,1760,1899,A1,1,399000
25723,5,2839,STAPLETON-CLIFTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5376,2820,1899,A1,1,550000
23206,5,2839,STAPLETON-CLIFTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4070,1780,1899,A1,1,290000
26937,5,2842,ROSEBANK,01 ONE FAMILY DWELLINGS                    ,1,0,1,7250,1472,1899,A1,1,435000
16455,2,2946,EAST TREMONT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2715,1936,1899,A1,1,695000
2401,2,3030,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,0,1,1622,1587,1899,A1,1,140000
20097,2,3036,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3525,1764,1899,A1,1,420000
5476,2,3461,SOUNDVIEW,01 ONE FAMILY DWELLINGS                    ,1,0,1,1925,1140,1899,A1,1,458784
19774,2,3844,WESTCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,3400,1984,1899,A1,1,500000
25194,3,5074,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,2573,1899,A1,1,2350000
11982,2,5105,WAKEFIELD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2400,1488,1899,A1,1,450000
26289,3,5112,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,2058,1899,A1,1,2100000
25841,3,5114,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5500,3499,1899,A1,1,2520000
27270,3,5115,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,8000,3608,1899,A1,1,4250000
25836,3,5116,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5500,2998,1899,A1,1,2090000
25104,3,5143,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,2080,1899,A1,1,1460000
24747,5,5145,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,4950,1432,1899,A1,1,577500
12082,3,5158,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2400,2185,1899,A1,1,1275000
19176,3,5175,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3200,2058,1899,A1,1,2050000
26375,3,5183,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,3020,1899,A1,1,1750000
22303,3,5195,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1876,1899,A1,1,210000
18705,3,5214,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3075,1410,1899,A1,1,715000
18706,3,5214,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3075,1410,1899,A1,1,515000
25364,2,5639,CITY ISLAND,01 ONE FAMILY DWELLINGS                    ,1,0,1,5004,1440,1899,A1,1,374400
26361,3,6030,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,2808,1899,A1,1,2340000
27385,5,6675,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,8650,1904,1899,A1,1,660000
27544,3,6678,GRAVESEND,01 ONE FAMILY DWELLINGS                    ,1,0,1,9768,1274,1899,A1,1,1200000
26678,5,6681,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,6552,1656,1899,A1,1,715000
22515,3,6691,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2103,1899,A1,1,1825000
24058,3,6691,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4500,1630,1899,A1,1,1985000
27954,3,6691,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,13513,3861,1899,A1,1,2325000
21141,3,6709,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3970,1872,1899,A1,1,1130000
27921,5,6760,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,12992,1488,1899,A1,1,680000
24330,5,7067,ROSSVILLE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4666,2610,1899,A1,1,401000
27827,5,7499,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,11770,5351,1899,A1,1,775000
28151,5,7550,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,19040,1964,1899,A1,1,485000
25776,3,7651,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,5450,4150,1899,A1,1,1700000
22896,3,8453,BERGEN BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2874,1899,A1,1,975000
886,4,9160,OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,1282,2068,1899,A1,1,430000
13270,4,15313,JAMAICA BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1404,1899,A1,1,550000
24773,2,3248,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4982,800,1899,A2,1,410000
9941,2,3261,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2175,247,1899,A2,1,75000
3625,5,4092,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,760,1899,A2,1,170992
12963,2,4437,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1140,1899,A2,1,355000
12817,2,4638,BRONXDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,837,1899,A2,1,399000
12818,2,4638,BRONXDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,837,1899,A2,1,104000
11543,2,4685,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2375,976,1899,A2,1,336000
27955,5,5147,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,13596,2169,1899,A2,1,780000
26813,5,7497,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,6888,1532,1899,A2,1,569000
2024,3,8663,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1600,682,1899,A2,1,300000
4897,4,15313,JAMAICA BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,1876,1176,1899,A2,1,339000
20318,4,3321,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3613,1273,1899,A3,1,1500000
20884,4,3321,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3839,2005,1899,A3,1,1350000
6005,3,184,BOERUM HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1980,3520,1899,A4,1,2850000
1040,3,259,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1337,2040,1899,A4,1,4500000
85,3,305,COBBLE HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,610,1056,1899,A4,1,2000000
374,3,401,BOERUM HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1014,1728,1899,A4,1,2100000
8479,1,526,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2002,3556,1899,A4,1,12500000
10694,1,526,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2252,3960,1899,A4,1,14000000
4406,3,1017,PARK SLOPE SOUTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1808,2028,1899,A4,1,1800000
5327,3,1078,PARK SLOPE,01 ONE FAMILY DWELLINGS                    ,1,0,1,1900,4016,1899,A4,1,6850000
19786,3,1083,PARK SLOPE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3400,2559,1899,A4,1,6129000
2976,3,1083,PARK SLOPE,01 ONE FAMILY DWELLINGS                    ,1,0,1,1700,2559,1899,A4,1,3550000
12709,3,1165,PROSPECT HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2489,3776,1899,A4,1,3300000
9994,3,1174,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2183,2247,1899,A4,1,2262500
17213,1,1184,UPPER WEST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,2850,10897,1899,A4,1,15800000
2719,3,1201,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1667,2668,1899,A4,1,1750000
2720,3,1201,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1667,2668,1899,A4,1,1160000
1809,3,1216,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1542,2319,1899,A4,1,960000
1810,3,1216,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1542,2319,1899,A4,1,425000
1882,1,1218,UPPER WEST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,1560,4586,1899,A4,1,5100000
2610,1,1322,MIDTOWN EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,1665,3060,1899,A4,1,5000000
1657,1,1326,MIDTOWN EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,1506,3240,1899,A4,1,5200000
10908,1,1387,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,2299,6230,1899,A4,1,41000000
4706,1,1400,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,1858,3969,1899,A4,1,10500000
4551,1,1412,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,1839,5436,1899,A4,1,4250000
2781,1,1422,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,1674,3585,1899,A4,1,6000000
4991,1,1426,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,1890,2700,1899,A4,1,6350000
1266,1,1433,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,1413,2600,1899,A4,1,4000000
4218,3,1496,OCEAN HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,2268,1899,A4,1,850000
5842,1,1504,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,1963,4501,1899,A4,1,8900000
1925,1,1511,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,1572,3420,1899,A4,1,7000000
1926,1,1511,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,1572,3420,1899,A4,1,7000000
126,1,1583,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,692,1824,1899,A4,1,4495000
2674,3,1638,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1667,2001,1899,A4,1,890000
399,3,1800,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1033,1395,1899,A4,1,525000
400,3,1800,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1033,1395,1899,A4,1,152000
401,3,1800,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1033,1395,1899,A4,1,25000
2198,3,1802,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1600,2160,1899,A4,1,995500
7719,3,1808,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,2280,1899,A4,1,875000
7859,3,1814,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,2520,1899,A4,1,1900000
4202,3,1815,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,2160,1899,A4,1,1575000
7769,3,1816,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,2400,1899,A4,1,995000
2673,3,1816,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1667,2001,1899,A4,1,750000
714,3,1828,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1220,1920,1899,A4,1,975000
8756,3,1855,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2017,3632,1899,A4,1,1850000
8210,3,1945,CLINTON HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,3248,1899,A4,1,3850000
12692,3,1961,CLINTON HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2483,4910,1899,A4,1,30000
12693,3,1961,CLINTON HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2483,4910,1899,A4,1,60000
12694,3,1961,CLINTON HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2483,4910,1899,A4,1,80000
2221,3,2010,CLINTON HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1600,2448,1899,A4,1,1560000
8285,1,2050,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,3371,1899,A4,1,3200000
5328,1,2050,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1900,4122,1899,A4,1,3535000
8268,1,2051,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,3360,1899,A4,1,1000000
3614,1,2059,HARLEM-UPPER,01 ONE FAMILY DWELLINGS                    ,1,0,1,1799,5810,1899,A4,1,4650000
415,3,2331,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1045,2220,1899,A4,1,4150000
641,3,2688,GREENPOINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1200,840,1899,A4,1,2350000
2653,3,5848,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,1667,1696,1899,A4,1,1190000
4963,3,5930,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,1887,2640,1899,A4,1,1500000
765,5,223,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1246,1120,1899,A5,1,112500
1403,5,223,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1456,1120,1899,A5,1,112500
19908,5,223,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,3461,1750,1899,A5,1,365000
136,3,305,COBBLE HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,702,1696,1899,A5,1,2500000
867,3,360,CARROLL GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1279,2880,1899,A5,1,3200000
543,5,1224,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,1136,1408,1899,A5,1,210000
4539,3,1382,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1836,1872,1899,A5,1,790000
4540,3,1382,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1836,1872,1899,A5,1,625000
3487,3,1624,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,0,1,1775,1863,1899,A5,1,1513687
